label,sport_and_travel,buy_and_sell,health_and_family,jobs,love,social_learning,suport,new,comic_and_film,music,gaming,school_and_class,club
__label__35-44,2,48,41,6,11,16,1,0,0,0,0,5,17
__label__35-44,0,5,1,2,0,0,0,0,0,0,0,0,2
__label__35-44,0,7,2,0,2,0,0,1,1,2,0,1,2
__label__25-34,0,0,0,0,1,0,0,0,0,0,0,0,1
__label__18-24,0,1,1,3,0,11,0,0,1,0,0,9,6
__label__25-34,0,24,3,0,3,0,0,0,0,0,0,0,1
__label__18-24,0,1,1,0,0,0,0,0,0,0,0,2,0
__label__35-44,0,3,3,0,1,0,0,0,0,0,0,3,4
__label__25-34,0,1,0,1,1,0,0,0,0,0,0,0,0
__label__18-24,2,26,1,3,4,2,0,1,0,0,23,1,27
__label__18-24,0,2,3,0,3,0,0,0,0,0,0,0,1
__label__35-44,0,1,1,0,0,1,0,0,0,0,0,1,1
__label__25-34,0,0,0,0,0,2,0,0,0,0,0,0,2
__label__25-34,0,5,1,2,2,0,0,0,0,0,0,1,4
__label__25-34,1,107,23,4,5,8,0,3,0,0,0,0,24
__label__45-54,0,4,0,0,0,0,0,1,0,0,0,0,1
__label__18-24,0,2,2,0,0,0,0,0,0,0,1,0,2
__label__45-54,0,7,7,1,8,0,0,2,0,23,0,0,3
__label__35-44,2,4,3,0,2,0,1,1,0,0,0,1,11
__label__18-24,1,5,6,3,7,5,0,1,0,2,5,2,11
__label__35-44,0,1,0,0,0,0,0,0,0,1,0,0,0
__label__45-54,0,0,0,0,0,0,0,0,0,1,0,0,1
__label__25-34,0,2,1,1,2,0,0,0,0,2,0,0,2
__label__18-24,0,6,13,8,4,14,1,0,1,0,0,5,7
__label__18-24,0,5,3,2,0,1,0,0,0,0,0,0,1
__label__25-34,1,1,1,0,0,0,0,0,0,0,0,0,2
__label__25-34,0,2,0,0,0,3,0,1,0,0,0,0,4
__label__25-34,0,9,10,2,0,1,0,0,0,1,0,2,4
__label__45-54,0,3,2,0,1,0,0,1,0,0,0,0,0
__label__18-24,0,0,2,0,0,0,0,0,0,0,0,0,0
__label__25-34,1,1,2,3,1,0,0,0,0,0,0,2,3
__label__25-34,1,1,0,0,0,0,0,0,0,0,0,2,2
__label__18-24,0,3,3,0,4,0,0,1,0,0,1,0,2
__label__45-54,0,2,0,0,1,1,0,0,0,0,0,0,0
__label__25-34,0,0,1,1,1,0,0,0,0,0,0,1,1
__label__35-44,0,17,10,1,1,1,0,0,0,1,0,2,6
__label__25-34,0,1,0,0,2,0,0,0,0,0,0,0,1
__label__18-24,0,2,0,0,0,0,0,0,0,0,0,0,0
__label__25-34,0,6,4,5,2,1,0,0,0,0,0,0,4
__label__25-34,0,0,3,0,0,0,0,0,0,0,0,0,2
